source,target
2020년 5월 © MarketsandMarkets™,MAY 2020 © MarketsandMarkets™
"MarketsandMarkets™는 7,500개 이상의 고객에게 서비스를 제공하는 세계 최대의 시장조사 기업입니다. 세계적","MarketsandMarkets™ is the world's largest revenue impact company, serving over 7500 customers. 80% of 
the top 2,000 companies globally rely on us for identifying new high growth and niche revenue opportunities. 
In the face of constant technology innovation and market disruption, we help organizations plan and 
operationalize their future revenue mix decisions by identifying over 30,000 high growth opportunities 
ranging from $1B to $500B across 90+ industry trends and markets. Organizations choose 
MarketsandMarkets™ to stay ahead of the curve and accelerate their revenue decisions and 
implementations by 6 – 12 months, giving them a unique, first-mover advantage. Our revenue impact 
methodology provides quantified and actionable insights on converged, granular, and connected market eco-
systems that result from disruptive technologies and high-growth markets. We provide an extended lens on 
not only what will impact our client’s revenue but also what will impact their clients’ revenues, continually 
uncovering latent opportunities.  
 
We work across all major B2B industries with C-level executives in functions such as Strategy, Marketing, 
Sales, R&D, Product, and M&A. MarketsandMarkets™ brings exclusive high-growth market intelligence 
generated by over 850 SMEs and analysts along with its proprietary Revenue Impact platform (Knowledge 
Store). 
 
 
 
 
 
 
Copyright © 2020 MarketsandMarkets™ 
All Rights Reserved. This document contains highly confidential information and is the sole property of 
MarketsandMarkets™. No part of it shall be circulated, copied, quoted, or otherwise reproduced without the 
prior written approval of MarketsandMarkets™."
2020년 5월 © MarketsandMarkets™,MAY 2020 © MarketsandMarkets™
"1
서론········································································································································ 21",TABLE OF CONTENTS
"1.1
조사 목적······················································································································································ 21","1 
INTRODUCTION ........................................................................................................ 21"
"1.2
시장 정의와 범위········································································································································ 21","1.1 
OBJECTIVES OF THE STUDY ........................................................................................................... 21"
"1.3
조사 시장······················································································································································ 22","1.2 
MARKET DEFINITION & SCOPE ...................................................................................................... 21"
"1.3.1
조사 대상 기간································································································································ 22","1.3 
MARKETS COVERED ..................................................................................................................... 22"
"1.4
통화······························································································································································· 23","1.3.1 
YEARS CONSIDERED FOR THE STUDY .............................................................................. 22"
"1.5
이해관계자···················································································································································· 23","1.4 
CURRENCY ................................................................................................................................... 23"
"1.6
변경사항 요약·············································································································································· 23","1.5 
STAKEHOLDERS ........................................................................................................................... 23"
"2
조사 방법······························································································································ 24","1.6 
SUMMARY OF CHANGES ............................................................................................................... 23"
"2.1
연구 방법······················································································································································ 24","2 
RESEARCH METHODOLOGY ...................................................................................... 24"
"2.1.1
2차 데이터········································································································································ 24","2.1 
RESEARCH APPROACH ................................................................................................................. 24"
"2.1.1.1
2차 출처 주요 데이터········································································································· 25","2.1.1 
SECONDARY DATA .......................................................................................................... 24"
"2.1.2
1차 데이터········································································································································ 26","2.1.1.1 
Key data from secondary sources ....................................................................... 25"
"2.1.2.1
1차 출처 주요 데이터········································································································· 27","2.1.2 
PRIMARY DATA ............................................................................................................... 26"
"2.1.2.2
주요 산업 인사이트············································································································· 28","2.1.2.1 
Key data from primary sources ........................................................................... 27"
"2.2
시장 규모 예측············································································································································ 29","2.1.2.2 
Key industry insights .......................................................................................... 28"
"2.3
한계······························································································································································· 32","2.2 
MARKET SIZE ESTIMATION ............................................................................................................ 29"
"2.4
시장 분석 및 데이터 삼각검증················································································································· 32","2.3 
LIMITATIONS ................................................................................................................................ 32"
"2.5
시장 점유율 분석········································································································································ 33","2.4 
MARKET BREAKDOWN & DATA TRIANGULATION ............................................................................ 32"
"2.6
가정······························································································································································· 33","2.5 
MARKET SHARE ANALYSIS ............................................................................................................ 33"
"3
주요 요약······························································································································ 34","2.6 
ASSUMPTIONS FOR THE STUDY .................................................................................................... 33"
"4
프리미엄 인사이트··············································································································· 37","3 
EXECUTIVE SUMMARY .............................................................................................. 34"
"4.1
동물용 기생충 구충제: 시장 개요············································································································ 37","4 
PREMIUM INSIGHTS ................................................................................................ 37"
"4.2
아시아태평양: 동물용 기생충 구충제 시장, 유형별&국가별(2019) ···················································· 38","4.1 
ANIMAL PARASITICIDES: MARKET OVERVIEW ................................................................................ 37"
"4.3
동물용 기생충 구충제 시장: 지역별 성장기회························································································ 39","4.2 
ASIA PACIFIC: ANIMAL PARASITICIDES MARKET, BY TYPE & COUNTRY (2019) ................................ 38"
"4.4
동물용 기생충 구충제 시장: 지역별 비교······························································································· 39","4.3 
ANIMAL PARASITICIDES MARKET: GEOGRAPHIC GROWTH OPPORTUNITIES ................................... 39"
"4.5
동물용 기생충 구충제 시장: 개발도상국 VS. 선진국············································································ 40","4.4 
ANIMAL PARASITICIDES MARKET: GEOGRAPHIC MIX ..................................................................... 39"
"5
시장 개요······························································································································ 41","4.5 
ANIMAL PARASITICIDES MARKET: DEVELOPING VS. DEVELOPED COUNTRIES ................................ 40"
"5.1
서론······························································································································································· 41","5 
MARKET OVERVIEW .................................................................................................. 41"
"5.2
시장 역학······················································································································································ 41","5.1 
INTRODUCTION ............................................................................................................................ 41"
"5.2.1
성장 촉진요인·································································································································· 42","5.2 
MARKET DYNAMICS...................................................................................................................... 41"
"5.2.1.1
동물성 식품에 대한 수요 증가·························································································· 42","5.2.1 
DRIVERS ........................................................................................................................ 42"
"5.2.1.2
민간기업의 투자 증가·········································································································· 42","5.2.1.1 
Rising demand for animal-derived food products ................................................ 42"
"5.2.1.3
인수공통감염병에 대한 우려 증가····················································································· 43","5.2.1.2 
Increasing investments from private players ....................................................... 42"
"5.2.1.4
동물 질병 확산 방지 규정·································································································· 43","5.2.1.3 
Growing concerns of zoonotic diseases .............................................................. 43"
2020년 5월 © MarketsandMarkets™,MAY 2020 © MarketsandMarkets™
"5.2.1.5
반려동물 소유율 증가·········································································································· 44","5.2.1.5 
Growing companion animal ownership rate ........................................................ 44"
"5.2.1.6
동물보건 비용 지출 증가···································································································· 44","5.2.1.6 
Rising animal health expenditure ....................................................................... 44"
"5.2.2
성장 억제요인·································································································································· 45","5.2.2 
RESTRAINTS ................................................................................................................... 45"
"5.2.2.1
채식주의 식단으로의 전환·································································································· 45","5.2.2.1 
Shift toward vegetarian diets ............................................................................. 45"
"5.2.2.2
식용동물에 대한 구충제 사용 제한··················································································· 45","5.2.2.2 
Restrictions on the use of parasiticides in food-producing animals ..................... 45"
"5.2.3
시장 기회·········································································································································· 45","5.2.3 
OPPORTUNITIES ............................................................................................................. 45"
"5.2.3.1
신흥시장 기회······················································································································· 45","5.2.3.1 
Opportunities in emerging markets .................................................................... 45"
"5.2.4
과제···················································································································································· 46","5.2.4 
CHALLENGES ................................................................................................................. 46"
"5.2.4.1
구충제에 대한 내성 증가···································································································· 46","5.2.4.1 
Growing resistance to parasiticides .................................................................... 46"
"5.2.4.2
기생충 종의 다양성············································································································· 47","5.2.4.2 
Diversity of parasite species .............................................................................. 47"
"5.3
산업 동향······················································································································································ 47","5.3 
INDUSTRY TRENDS ....................................................................................................................... 47"
"5.3.1
코로나19가 동물보건 산업에 미치는 영향·················································································· 47","5.3.1 
IMPACT OF COVID-19 ON THE ANIMAL HEALTH INDUSTRY ............................................... 47"
"5.3.2
동물보건 산업 내 합병··················································································································· 47","5.3.2 
GROWING CONSOLIDATION IN THE ANIMAL HEALTH INDUSTRY ....................................... 47"
"6
시장 분석 및 예측: 유형별································································································ 49","6 
ANIMAL PARASITICIDES MARKET, BY TYPE ............................................................... 49"
"6.1
서론······························································································································································· 50","6.1 
INTRODUCTION ............................................................................................................................ 50"
"6.2
외부 기생충 구충제····································································································································· 50","6.2 
ECTOPARASITICIDES .................................................................................................................... 50"
"6.2.1
푸어온&스팟온································································································································· 52","6.2.1 
POUR-ONS & SPOT-ONS ................................................................................................ 52"
