source,target,confidence,notes,page,chunk
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,0.95,"Direct translation with high accuracy, but the English text is missing the 'Animal Parasiticides' specificity.",2,1
"MarketsandMarkets™는 7,500개 이상의 고객에게 서비스를 제공하는 세계 최대의 시장조사 기업입니다. 세계적","MarketsandMarkets™ is the world's largest revenue impact company, serving over 7500 customers. 80% of 
the top 2,000 companies globally rely on us for identifying new high growth and niche revenue opportunities.",0.85,"Good match, though the Korean text focuses on 'market research company' and the English text on 'revenue impact company'. Minor discrepancies in description.",2,1
"
1
서론········································································································································ 21","1 
INTRODUCTION ........................................................................................................ 21",0.95,Direct translation of section titles with matching page numbers.,3,1
"1.1
조사 목적······················································································································································ 21","1.1 
OBJECTIVES OF THE STUDY ........................................................................................................... 21",0.95,Direct translation of subsection titles with matching page numbers.,3,1
"1.2
시장 정의와 범위········································································································································ 21","1.2 
MARKET DEFINITION & SCOPE ...................................................................................................... 21",0.95,Direct translation of subsection titles with matching page numbers.,3,1
"1.3
조사 시장······················································································································································ 22","1.3 
MARKETS COVERED ..................................................................................................................... 22",0.95,Direct translation of subsection titles with matching page numbers.,3,1
"1.3.1
조사 대상 기간································································································································ 22","1.3.1 
YEARS CONSIDERED FOR THE STUDY .............................................................................. 22",0.95,Direct translation of sub-subsection titles with matching page numbers.,3,1
"1.4
통화······························································································································································· 23","1.4 
CURRENCY ................................................................................................................................... 23",0.95,Direct translation of subsection titles with matching page numbers.,3,1
"1.5
이해관계자············································································································································ 23","1.5 
STAKEHOLDERS ........................................................................................................................... 23",0.95,Direct translation of subsection titles with matching page numbers.,3,1
"1.6
변경사항 요약·············································································································································· 23","1.6 
SUMMARY OF CHANGES ............................................................................................................... 23",0.95,Direct translation of subsection titles with matching page numbers.,3,1
"2
조사 방법······························································································································································ 24","2 
RESEARCH METHODOLOGY ...................................................................................... 24",0.95,Direct translation of section titles with matching page numbers.,3,1
"2.1
연구 방법······················································································································································ 24","2.1 
RESEARCH APPROACH ................................................................................................................. 24",0.95,Direct translation of subsection titles with matching page numbers.,3,1
"2.1.1
2차 데이터························································································································································ 24","2.1.1 
SECONDARY DATA .......................................................................................................... 24",0.95,Direct translation of sub-subsection titles with matching page numbers.,3,1
"2.1.1.1
2차 출처 주요 데이터········································································································································ 25","2.1.1.1 
Key data from secondary sources ....................................................................... 25",0.95,Direct translation of sub-sub-subsection titles with matching page numbers.,3,1
"2.1.2
1차 데이터························································································································································ 26","2.1.2 
PRIMARY DATA ............................................................................................................... 26",0.95,Direct translation of sub-subsection titles with matching page numbers.,3,1
"2.1.2.1
1차 출처 주요 데이터········································································································································ 27","2.1.2.1 
Key data from primary sources ........................................................................... 27",0.95,Direct translation of sub-sub-subsection titles with matching page numbers.,3,1
"2.1.2.2
주요 산업 인사이트················································································································································ 28","2.1.2.2 
Key industry insights .......................................................................................... 28",0.95,Direct translation of sub-sub-subsection titles with matching page numbers.,3,1
"2.2
시장 규모 예측·························································································································································· 29","2.2 
MARKET SIZE ESTIMATION ............................................................................................................ 29",0.95,Direct translation of subsection titles with matching page numbers.,3,1
"2.3
한계······························································································································································· 32","2.3 
LIMITATIONS ................................................................................................................................ 32",0.95,Direct translation of subsection titles with matching page numbers.,3,1
"2.4
시장 분석 및 데이터 삼각검증···································································································································· 32","2.4 
MARKET BREAKDOWN & DATA TRIANGULATION ............................................................................ 32",0.95,Direct translation of subsection titles with matching page numbers.,3,1
"2.5
시장 점유율 분석······················································································································································ 33","2.5 
MARKET SHARE ANALYSIS ............................................................................................................ 33",0.95,Direct translation of subsection titles with matching page numbers.,3,1
"3
주요 요약................................................................ 34","3 
EXECUTIVE SUMMARY .............................................................................................. 34",0.95,Direct translation of section titles with matching page numbers.,3,2
"4
프리미엄 인사이트................................................................ 37","4 
PREMIUM INSIGHTS ................................................................................................ 37",0.95,Direct translation of section titles with matching page numbers.,3,2
"4.1
동물용 기생충 구충제: 시장 개요................................................................ 37","4.1 
ANIMAL PARASITICIDES: MARKET OVERVIEW ................................................................................ 37",0.95,Direct translation of section titles with matching page numbers.,3,2
"4.2
아시아태평양: 동물용 기생충 구충제 시장, 유형별&국가별(2019) ..................................................... 38","4.2 
ASIA PACIFIC: ANIMAL PARASITICIDES MARKET, BY TYPE & COUNTRY (2019) ................................ 38",0.95,Direct translation of section titles with matching page numbers.,3,2
"4.3
동물용 기생충 구충제 시장: 지역별 성장기회................................................................ 39","4.3 
ANIMAL PARASITICIDES MARKET: GEOGRAPHIC GROWTH OPPORTUNITIES ................................... 39",0.95,Direct translation of section titles with matching page numbers.,3,2
"4.4
동물용 기생충 구충제 시장: 지역별 비교................................................................ 39","4.4 
ANIMAL PARASITICIDES MARKET: GEOGRAPHIC MIX ..................................................................... 39",0.95,Direct translation of section titles with matching page numbers.,3,2
"4.5
동물용 기생충 구충제 시장: 개발도상국 VS. 선진국................................................................ 40","4.5 
ANIMAL PARASITICIDES MARKET: DEVELOPING VS. DEVELOPED COUNTRIES ................................ 40",0.95,Direct translation of section titles with matching page numbers.,3,2
"5
시장 개요................................................................ 41","5 
MARKET OVERVIEW .................................................................................................. 41",0.95,Direct translation of section titles with matching page numbers.,3,2
"5.1
서론................................................................ 41","5.1 
INTRODUCTION ............................................................................................................................ 41",0.95,Direct translation of section titles with matching page numbers.,3,2
"5.2
시장 역학................................................................ 41","5.2 
MARKET DYNAMICS...................................................................................................................... 41",0.95,Direct translation of section titles with matching page numbers.,3,2
"5.2.1
성장 촉진요인................................................................ 42","5.2.1 
DRIVERS ........................................................................................................................ 42",0.95,Direct translation of section titles with matching page numbers.,3,2
"5.2.1.1
동물성 식품에 대한 수요 증가................................................................ 42","5.2.1.1 
Rising demand for animal-derived food products ................................................ 42",0.95,Direct translation of section titles with matching page numbers.,3,2
"5.2.1.2
민간기업의 투자 증가................................................................ 42","5.2.1.2 
Increasing investments from private players ....................................................... 42",0.95,Direct translation of section titles with matching page numbers.,3,2
"5.2.1.3
인수공통감염병에 대한 우려 증가................................................................ 43","5.2.1.3 
Growing concerns of zoonotic diseases .............................................................. 43",0.95,Direct translation of section titles with matching page numbers.,3,2
"5.2.1.4
동물 질병 확산 방지 규정................................................................ 43","5.2.1.4 
Regulations for preventing the spread of animal diseases ................................... 43",0.95,Direct translation of section titles with matching page numbers.,3,2
"
5.2.1.5
반려동물 소유율 증가................................................................ 44","5.2.1.5 
Growing companion animal ownership rate ........................................................ 44",0.95,Direct translation with formatting differences,4,1
"
5.2.1.6
동물보건 비용 지출 증가................................................................ 44","5.2.1.6 
Rising animal health expenditure ....................................................................... 44",0.95,Direct translation with formatting differences,4,1
"
5.2.2
성장 억제요인................................................................ 45","5.2.2 
RESTRAINTS ................................................................................................................... 45",0.95,Direct translation with formatting differences,4,1
"
5.2.2.1
채식주의 식단으로의 전환................................................................ 45","5.2.2.1 
Shift toward vegetarian diets ............................................................................. 45",0.95,Direct translation with formatting differences,4,1
"
5.2.2.2
식용동물에 대한 구충제 사용 제한................................................................ 45","5.2.2.2 
Restrictions on the use of parasiticides in food-producing animals ..................... 45",0.95,Direct translation with formatting differences,4,1
"
5.2.3
시장 기회................................................................ 45","5.2.3 
OPPORTUNITIES ............................................................................................................. 45",0.95,Direct translation with formatting differences,4,1
"
5.2.3.1
신흥시장 기회................................................................ 45","5.2.3.1 
Opportunities in emerging markets .................................................................... 45",0.95,Direct translation with formatting differences,4,1
"
5.2.4
과제................................................................ 46","5.2.4 
CHALLENGES ................................................................................................................. 46",0.95,Direct translation with formatting differences,4,1
"
5.2.4.1
구충제에 대한 내성 증가................................................................ 46","5.2.4.1 
Growing resistance to parasiticides .................................................................... 46",0.95,Direct translation with formatting differences,4,1
"
5.2.4.2
기생충 종의 다양성................................................................ 47","5.2.4.2 
Diversity of parasite species .............................................................................. 47",0.95,Direct translation with formatting differences,4,1
"
5.3
산업 동향................................................................ 47","5.3 
INDUSTRY TRENDS ....................................................................................................................... 47",0.95,Direct translation with formatting differences,4,1
"
5.3.1
코로나19가 동물보건 산업에 미치는 영향................................................................ 47","5.3.1 
IMPACT OF COVID-19 ON THE ANIMAL HEALTH INDUSTRY ............................................... 47",0.95,Direct translation with formatting differences,4,1
"
5.3.2
동물보건 산업 내 합병................................................................ 47","5.3.2 
GROWING CONSOLIDATION IN THE ANIMAL HEALTH INDUSTRY ....................................... 47",0.95,Direct translation with formatting differences,4,1
"6.2.2.1
주 시장성장 동인인 높은 약물이행도 및 관리의 용이성······························································································································································ 53","6.2.2.1 
High medication compliance and ease of administration are key 
growth drivers in this market .............................................................................. 53",0.95,Direct translation with clear correspondence in content and section numbering.,4,2
"6.2.3
스프레이···························································································································································································· 54","6.2.3 
SPRAYS ......................................................................................................................... 54",0.95,Direct translation with matching section numbers and content.,4,2
"6.2.3.1
저렴한 가격 및 편리성이 주도하는 시장 성장···················································································································································· 54","6.2.3.1 
Low price and convenience to drive market growth.............................................. 54",0.95,Direct translation with matching section numbers and content.,4,2
"6.2.4
딥········································································································································································································· 55","6.2.4 
DIPS .............................................................................................................................. 55",0.95,Direct translation with matching section numbers and content.,4,2
"6.2.5
이어태그···························································································································································································· 56","6.2.5 
EAR TAGS ....................................................................................................................... 56",0.95,Direct translation with matching section numbers and content.,4,2
"6.2.6
칼라········································································································································································································· 57","6.2.6 
COLLARS ....................................................................................................................... 57",0.95,Direct translation with matching section numbers and content.,4,2
"6.3
내부 기생충 구충제···································································································································································································································· 59","6.3 
ENDOPARASITICIDES ................................................................................................................... 59",0.95,Direct translation with matching section numbers and content.,4,2
"6.3.1
 구강액················································································································································································································ 61","6.3.1 
ORAL LIQUIDS ................................................................................................................ 61",0.95,Direct translation with matching section numbers and content.,4,2
"6.3.2
 경구 고체············································································································································································································································ 62","6.3.2 
ORAL SOLIDS ................................................................................................................. 62",0.95,Direct translation with matching section numbers and content.,4,2
"6.3.3
 주사제···································································································································································································································· 63","6.3.3 
INJECTABLES ................................................................................................................. 63",0.95,Direct translation with matching section numbers and content.,4,2
2020년 5월 © MarketsandMarkets™,MAY 2020 © MarketsandMarkets™,0.95,Direct translation with clear correspondence in content.,4,2
"
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망",ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,0.95,Direct translation with minor formatting differences,5,1
"6.3.4
 사료 첨가제............................................................................................................. 64","6.3.4 
FEED ADDITIVES ............................................................................................................. 64",0.95,Direct translation with minor formatting differences,5,1
"6.3.4.1
대량의 동물에게 일시 투여 가능한 사료 첨가제.............................................................................................................. 64","6.3.4.1 
Feed additives can be administered to large numbers of animals  
at once .............................................................................................................. 64",0.95,Direct translation with minor formatting differences,5,1
"6.3.5
 기타 내부 기생충 구충제.......................................................................................................... 65","6.3.5 
OTHER ENDOPARASITICIDES .......................................................................................... 65",0.95,Direct translation with minor formatting differences,5,1
"6.4
내외부 기생충 구충제............................................................................................................................ 66","6.4 
ENDECTOCIDES ............................................................................................................................ 66",0.85,Direct translation with minor differences in terminology,5,1
"7
시장 분석 및 예측: 동물 유형별.................................................................................................................. 68","7 
ANIMAL PARASITICIDES MARKET, BY ANIMAL TYPE .................................................. 68",0.95,Direct translation with minor formatting differences,5,1
"7.1
서론............................................................................................................................................................ 69","7.1 
INTRODUCTION ............................................................................................................................ 69",0.95,Direct translation,5,1
"7.2
반려동물................................................................................................................................................. 69","7.2 
COMPANION ANIMALS ................................................................................................................. 69",0.95,Direct translation,5,1
"7.2.1
개............................................................................................................................................ 71","7.2.1 
DOGS ............................................................................................................................ 71",0.95,Direct translation,5,1
"7.2.1.1
반려동물용 구충제 시장의 가장 큰 비중을 차지하는 개.......................................................................................................... 71","7.2.1.1 
Dogs accounted for the largest share of the animal parasiticides 
market for companion animals .......................................................................... 71",0.95,Direct translation with minor formatting differences,5,1
"7.2.2
고양이.............................................................................................................................................. 72","7.2.2 
CATS .............................................................................................................................. 72",0.95,Direct translation,5,1
"7.2.2.1
기생충 감염에 대한 높은 취약성으로 인한 고양이 대상 제품에 대한 수요 증가................................................................... 72","7.2.2.1 
High vulnerability to parasitic infections has strengthened product 
demand in this segment .................................................................................... 72",0.95,Direct translation with minor formatting differences,5,1
"7.2.3
말................................................................................................................................................. 73","7.2.3 
HORSES ......................................................................................................................... 73",0.95,Direct translation,5,1
"7.2.3.1
말 기생충 관리에 대한 수요 증가로 인한 시장 성장.......................................................................................................... 73","7.2.3.1 
Rising need for equine parasitic control to drive market growth ........................... 73",0.95,Direct translation with minor formatting differences,5,1
"7.2.4
기타 반려동물.......................................................................................................................................... 74","7.2.4 
OTHER COMPANION ANIMALS ........................................................................................ 74",0.95,Direct translation,5,1
"7.3
식용동물................................................................................................................................................. 74","7.3 
FOOD-PRODUCING ANIMALS ........................................................................................................ 74",0.95,Direct translation,5,1
