source,target,generated,similarity,confidence
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,0.84350336,0.95
"MarketsandMarkets™는 7,500개 이상의 고객에게 서비스를 제공하는 세계 최대의 시장조사 기업입니다. 세계적","MarketsandMarkets™ is the world's largest revenue impact company, serving over 7500 customers. 80% of 
the top 2,000 companies globally rely on us for identifying new high growth and niche revenue opportunities.","MarketsandMarkets™는 7,500개 이상의 고객에게 서비스를 제공하는 세계 최대의 시장 조사 기업입니다.",0.8216973,0.85
"
1
서론········································································································································ 21","1 
INTRODUCTION ........................................................................................................ 21","1
서론································································································································ 21",0.88072693,0.95
"1.1
조사 목적······················································································································································ 21","1.1 
OBJECTIVES OF THE STUDY ........................................................................................................... 21","1.1  
조사 목적······················································································································································ 21",0.72736746,0.95
"1.2
시장 정의와 범위········································································································································ 21","1.2 
MARKET DEFINITION & SCOPE ...................................................................................................... 21","1.2  
시장 정의와 범위········································································································································ 21",0.5398414,0.95
"1.3
조사 시장······················································································································································ 22","1.3 
MARKETS COVERED ..................................................................................................................... 22","1.3  
조사 시장······················································································································································ 22",0.6875792,0.95
"1.3.1
조사 대상 기간································································································································ 22","1.3.1 
YEARS CONSIDERED FOR THE STUDY .............................................................................. 22","1.3.1  
조사 대상 기간································································································································ 22",0.6772456,0.95
"1.4
통화······························································································································································· 23","1.4 
CURRENCY ................................................................................................................................... 23","1.4  
통화······························································································································································· 23",0.75237143,0.95
"1.5
이해관계자············································································································································ 23","1.5 
STAKEHOLDERS ........................................................................................................................... 23","1.5  
이해관계자············································································································································ 23",0.80395937,0.95
"1.6
변경사항 요약·············································································································································· 23","1.6 
SUMMARY OF CHANGES ............................................................................................................... 23","1.6  
변경사항 요약·············································································································································· 23",0.83474374,0.95
"2
조사 방법······························································································································································ 24","2 
RESEARCH METHODOLOGY ...................................................................................... 24",조사 방법································································································································································ 24,0.6603662,0.95
"2.1
연구 방법······················································································································································ 24","2.1 
RESEARCH APPROACH ................................................................................................................. 24","2.1  
연구 방법······················································································································································ 24",0.9160613,0.95
"2.1.1
2차 데이터························································································································································ 24","2.1.1 
SECONDARY DATA .......................................................................................................... 24","2.1.1  
2차 데이터························································································································································ 24",0.8769453,0.95
